freq,strat,seed,mean,sdom
143,perturb_shuffle_hs,42,233.09577558059718,48.564674080839715
167,perturb_shuffle_hs,42,272.43149673380077,52.79785861135741
167,perturb_zero_hs,42,296.0570925156176,58.275211526541405
200,perturb_shuffle_hs,42,261.551777015992,55.89083672234647
200,perturb_zero_hs,42,346.5084998754485,64.26550338741113
250,perturb_shuffle_hs,42,321.031747975345,58.64862308049601
250,perturb_zero_hs,42,366.42272560151935,68.34614247711208
333,perturb_shuffle_hs,42,329.9743695410263,60.552426439833205
333,perturb_zero_hs,42,357.12800660017575,66.69549200719898
500,perturb_shuffle_hs,42,386.4686579665595,71.04730414360235
500,perturb_zero_hs,42,413.5480043865113,75.3204279745965
1000,perturb_shuffle_hs,42,424.92968657813657,77.06150034456559
1000,perturb_zero_hs,42,424.92968657813657,77.06150034456559
1000,perturb,42,424.93,77.06
